Country,Year,GDP_USD_MILLION,GDP_USD,Exports_USD,Imports_USD,Trade_Openness_pct_GDP,Openness_Lag1
AT,2020,1140953.7,380317900000.0,313657649.99999994,11616673079.0,3.1369364231870236,
AT,2021,1218694.5,406231500000.0,319815730.0,15136279262.0,3.8047504912839107,3.1369364231870236
AT,2022,1348146.6,449382200000.0,333846270.0,17812650982.0,4.038098805871706,3.8047504912839107
AT,2023,1433512.2,477837400000.0,366211840.0,19143776998.0,4.082976518372149,4.038098805871706
AT,2024,1482262.5,494087500000.0,470719370.0,17573286978.0,3.651986004098464,4.082976518372149
AT,2025,750226.5,250075500000.0,280480820.0,6799522315.0,2.8311462478331544,3.651986004098464
BE,2020,1391252.7,463750900000.0,3829185130.0,21028718780.0,5.3601845106931325,
BE,2021,1518141.6,506047200000.0,4475273970.0,21469875638.0,5.127021670705815,5.3601845106931325
BE,2022,1683927.3,561309100000.0,5623721520.0,26606745864.0,5.74201761275561,5.127021670705815
BE,2023,1807128.9,602376300000.0,6290735900.0,22764808127.0,4.823487249913385,5.74201761275561
BE,2024,1860815.1,620271700000.0,5659451810.0,27786935658.0,5.392215615834158,4.823487249913385
BE,2025,949581.6,316527200000.0,2021093370.0,11745737281.0,4.349335744605835,5.392215615834158
BG,2020,185569.5,61856500000.0,28603399.999999996,847117495.0,1.4157297858753728,
BG,2021,214035.0,71345000000.0,33087059.999999996,1152100836.0,1.6612066661994533,1.4157297858753728
BG,2022,258238.5,86079500000.0,81722340.0,1509400631.0,1.848434262513142,1.6612066661994533
BG,2023,283579.8,94526600000.0,66362840.0,1569065986.0,1.730125515992324,1.848434262513142
BG,2024,314306.39999999997,104768799999.99998,93913920.0,1489084413.0,1.510944415703912,1.730125515992324
BG,2025,151583.7,50527900000.0,22582310.0,607473711.0,1.246946777918734,1.510944415703912
CY,2020,67122.0,22374000000.0,9624200.0,59387366.0,0.30844536515598464,
CY,2021,77038.8,25679600000.0,13614859.999999998,65483342.0,0.30801960310908266,0.30844536515598464
CY,2022,88936.5,29645500000.0,18649739.999999996,72707117.0,0.3081643318547503,0.30801960310908266
CY,2023,97317.0,32439000000.0,76458970.0,52530453.0,0.39763686611794447,0.3081643318547503
CY,2024,104310.29999999999,34770099999.99999,15674220.0,58697290.0,0.21389501324413795,0.39763686611794447
CY,2025,53186.4,17728800000.0,8366330.0,39657604.0,0.27088090564505213,0.21389501324413795
CZ,2020,660942.0,220314000000.0,1020554520.0,5532896078.0,2.9745956217035685,
CZ,2021,738422.7000000001,246140900000.00003,1532446070.0,6353653105.0,3.203896294764502,2.9745956217035685
CZ,2022,861102.3,287034100000.0,1057139399.9999999,7492016907.0,2.97844622189489,3.203896294764502
CZ,2023,957209.1000000001,319069700000.00006,1002134370.0,7470362159.0,2.655374837848908,2.97844622189489
CZ,2024,962217.3,320739100000.0,1031965530.0,8072730961.0,2.838661233070742,2.655374837848908
CZ,2025,493329.0,164443000000.0,460927730.0,3518255240.0,2.4197946826559966,2.838661233070742
DE,2020,10352160.0,3450720000000.0,8174855190.0,114896830345.0,3.566550909230538,
DE,2021,11047020.0,3682340000000.0,9766182100.0,134652573833.0,3.921928880358685,3.566550909230538
DE,2022,11968170.0,3989390000000.0,10382524760.0,146607811985.0,3.9351965274139658,3.921928880358685
DE,2023,12657930.0,4219310000000.0,9638247550.0,159186218324.0,4.001233990249591,3.9351965274139658
DE,2024,12986910.0,4328970000000.0,10003237680.0,160380001936.0,3.9358840466900906,4.001233990249591
DE,2025,6571140.0,2190380000000.0,5900916780.0,68462027305.99999,3.3949791399665816,3.9358840466900906
DK,2020,936376.2,312125400000.0,233328080.0,11626053697.0,3.799556773335332,
DK,2021,1029950.4,343316800000.0,309674550.0,12109747978.0,3.617481733489302,3.799556773335332
DK,2022,1141714.5,380571500000.0,348930070.0,12966225020.0,3.4987262813952174,3.617481733489302
DK,2023,1122501.3,374167100000.0,471494710.0,11615178533.0,3.230287548798384,3.4987262813952174
DK,2024,1177196.1,392398700000.0,740448600.0,10035959358.0,2.746290433174218,3.230287548798384
DK,2025,593511.2999999999,197837099999.99997,234465210.0,5134602259.0,2.7138830224462454,2.746290433174218
EA20,2020,34847406.9,11615802300000.0,0.0,0.0,0.0,
EA20,2021,37856099.1,12618699700000.0,0.0,0.0,0.0,0.0
EA20,2022,41273778.9,13757926300000.0,0.0,0.0,0.0,0.0
EA20,2023,43990955.7,14663651900000.0,0.0,0.0,0.0,0.0
EA20,2024,45693943.2,15231314400000.0,0.0,0.0,0.0,0.0
EA20,2025,23223644.099999998,7741214699999.999,0.0,0.0,0.0,0.0
EE,2020,83577.9,27859300000.0,75905840.0,1071986885.0,4.120321490489711,
EE,2021,94359.9,31453300000.0,144348750.0,1914011451.0,6.544178833381553,4.120321490489711
EE,2022,108903.0,36301000000.0,74805880.0,1371992737.0,3.985561326134266,6.544178833381553
EE,2023,115060.2,38353400000.0,55567300.0,774364358.0,2.1639063498933604,3.985561326134266
EE,2024,119543.40000000001,39847800000.00001,80271200.0,1065177975.0000001,2.8745606407380073,2.1639063498933604
EE,2025,60215.4,20071800000.0,39909920.0,448557894.0,2.4336024372502716,2.8745606407380073
EL,2020,502618.5,167539500000.0,0.0,0.0,0.0,
EL,2021,553723.8,184574600000.0,0.0,0.0,0.0,0.0
