Country,Time,USD-CZK Spot Exchange Rate
CZ,1991-01,27.6468180736364
CZ,1991-02,27.2440000535
CZ,1991-03,28.739999861904803
CZ,1991-04,29.9433334904762
CZ,1991-05,30.1157142085714
CZ,1991-06,30.875263214210502
CZ,1991-07,31.0027273354545
CZ,1991-08,30.5304546345455
CZ,1991-09,29.9933332714286
CZ,1991-10,29.885454524545498
CZ,1991-11,29.163809640952397
CZ,1991-12,28.55263168
CZ,1992-01,28.360909114545496
CZ,1992-02,28.7820002565
CZ,1992-03,29.1590909959091
CZ,1992-04,29.060952412381
CZ,1992-05,28.8363157584211
CZ,1992-06,28.4245454613636
CZ,1992-07,27.605454446363602
CZ,1992-08,27.252856935238103
CZ,1992-09,27.184863611363603
CZ,1992-10,27.3821430204762
CZ,1992-11,28.5392858414286
CZ,1992-12,28.5808888544444
CZ,1993-01,28.9269498815
CZ,1993-02,29.0259501455
CZ,1993-03,29.040956413913
CZ,1993-04,28.5010476785714
CZ,1993-05,28.609999974761894
CZ,1993-06,29.101571583333303
CZ,1993-07,29.827449894
CZ,1993-08,29.6669544740909
CZ,1993-09,28.8284544509091
CZ,1993-10,28.9131500245
CZ,1993-11,29.642818105
CZ,1993-12,29.7642272609091
CZ,1994-01,30.122000013333302
CZ,1994-02,30.074399852
CZ,1994-03,29.5886521547826
CZ,1994-04,29.6302001005
CZ,1994-05,29.2073179595455
CZ,1994-06,28.8938179886364
CZ,1994-07,28.1724737063158
CZ,1994-08,28.12343473
CZ,1994-09,27.9795907636364
CZ,1994-10,27.6360500335
CZ,1994-11,27.7775454959091
CZ,1994-12,28.218476158571402
CZ,1995-01,27.762000171363603
CZ,1995-02,27.395999909
CZ,1995-03,26.223391325652198
CZ,1995-04,25.85321055
CZ,1995-05,26.236619040952398
CZ,1995-06,26.1391363136364
CZ,1995-07,26.010105233157898
CZ,1995-08,26.6381738917391
CZ,1995-09,26.928428467142897
CZ,1995-10,26.312636376363603
CZ,1995-11,26.323227015
CZ,1995-12,26.6582629547368
CZ,1996-01,26.9667726863636
CZ,1996-02,27.069380897142896
CZ,1996-03,27.263428642381
CZ,1996-04,27.495999834761896
CZ,1996-05,27.7036499015
CZ,1996-06,27.814000129
CZ,1996-07,27.151043518695698
CZ,1996-08,26.520454545454502
CZ,1996-09,26.5414285714286
CZ,1996-10,27.09
CZ,1996-11,26.83
CZ,1996-12,27.3405
CZ,1997-01,27.5159090909091
CZ,1997-02,28.18
