Country,Time,CZK-USD Spot Exchange Rate
CZ,1991-01,0.03617052773800343
CZ,1991-02,0.036705329541780386
CZ,1991-03,0.03479471137108499
CZ,1991-04,0.033396415276143544
CZ,1991-05,0.033205256002707864
CZ,1991-06,0.03238838785153238
CZ,1991-07,0.03225522674762898
CZ,1991-08,0.032754179784420585
CZ,1991-09,0.03334074245601077
CZ,1991-10,0.03346109389698861
CZ,1991-11,0.03428907307760575
CZ,1991-12,0.03502304135070186
CZ,1992-01,0.035259800592468624
CZ,1992-02,0.03474393687332986
CZ,1992-03,0.03429462187762629
CZ,1992-04,0.034410434517416724
CZ,1992-05,0.034678493895599995
CZ,1992-06,0.03518086160284469
CZ,1992-07,0.0362247251514357
CZ,1992-08,0.03669340070937643
CZ,1992-09,0.036785176276624316
CZ,1992-10,0.03652015107992848
CZ,1992-11,0.03503941919066404
CZ,1992-12,0.03498841498921744
CZ,1993-01,0.03456983899431243
CZ,1993-02,0.03445192991055397
CZ,1993-03,0.03443412764191602
CZ,1993-04,0.035086429498233956
CZ,1993-05,0.034952813732336344
CZ,1993-06,0.034362405382007195
CZ,1993-07,0.033526164776196875
CZ,1993-08,0.03370753815911006
CZ,1993-09,0.03468795046584487
CZ,1993-10,0.03458633871275301
CZ,1993-11,0.03373498418597809
CZ,1993-12,0.03359737819611906
CZ,1994-01,0.033198326789634046
CZ,1994-02,0.03325087133645655
CZ,1994-03,0.03379674054664108
CZ,1994-04,0.03374935021053487
CZ,1994-05,0.03423799478559041
CZ,1994-06,0.03460947945312344
CZ,1994-07,0.03549564054702859
CZ,1994-08,0.03555753447615963
CZ,1994-09,0.03574033689226246
CZ,1994-10,0.036184621130292326
CZ,1994-11,0.036000301039819146
CZ,1994-12,0.03543777468282066
CZ,1995-01,0.03602045939872503
CZ,1995-02,0.036501679198483454
CZ,1995-03,0.03813389304158314
CZ,1995-04,0.03867991552020219
CZ,1995-05,0.03811466707806799
CZ,1995-06,0.03825681108974954
CZ,1995-07,0.03844659569947421
CZ,1995-08,0.037540110822315606
CZ,1995-09,0.03713547566357852
CZ,1995-10,0.038004553618135
CZ,1995-11,0.037989263224837935
CZ,1995-12,0.037511821445302164
CZ,1996-01,0.037082672503323845
CZ,1996-02,0.03694210827354191
